year,university,admissions
2014,"Royal Holloway, University of London",2585
2014,University of Salford,4805
2014,University of Sheffield,5560
2014,Sheffield Hallam University,8080
2014,University of Southampton,5065
2014,Southampton Solent University,3645
2014,"St George's, University of London",770
2014,St Mary's University,1465
2014,University of Sunderland,2655
2014,University of Surrey,3260
2014,University of Sussex,3590
2014,Teesside University,3570
2014,University of the Arts London,4505
2014,University College London,5030
2014,University of West London,2550
2014,University of Warwick,4245
2014,University of Westminster,5560
2014,University of Wolverhampton,4810
2014,University of Winchester,2250
2014,University of Worcester,2815
2014,Writtle University College,345
2014,University of York,4000
2014,York St John University,1735
2015,Anglia Ruskin University,4150
2015,Arts University Bournemouth,1280
2015,Aston University,3370
2015,University of Bath,3635
2015,Bath Spa University,2515
2015,University of Bedfordshire,3095
2015,Bedford College Group,225
2015,"Birkbeck, University of London",1405
2015,Birmingham City University,6265
2015,Birmingham Metropolitan College,85
2015,University of Birmingham,6440
2015,University College Birmingham,1725
2015,Bishop Grosseteste University,825
2015,University of Bolton,1630
2015,Bournemouth University,4785
2015,University of Bradford,2565
2015,University of Brighton,5575
2015,University of Bristol,5385
2015,University of the West of England,6120
2015,Brunel University,3150
2015,University of Buckingham,105
2015,Buckinghamshire New University,2435
2015,University of Cambridge,3430
2015,Canterbury Christ Church University,3695
2015,University of Central Lancashire,6305
2015,University of Chester,3425
2015,University of Chichester,1565
2015,"City, University of London",3410
2015,City and Islington College,60
2015,"Courtauld Institute of Art, University of London",70
2015,Coventry University,7515
2015,University of Cumbria,1765
2015,De Montfort University,6015
2015,University of Derby,3615
2015,University of Durham,4190
2015,University of East Anglia,4170
2015,University of East London,3865
2015,Edge Hill University,4035
2015,University of Essex,3910
2015,University of Exeter,5810
2015,Falmouth University,1895
2015,University of Gloucestershire,2535
